name,address,tel,business_hours,url,spot
三本松茶屋,栃木県日光市中宮祠2493,0288-55-0287,定休日：年中無休営業時間：7:00〜19:00,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e4%b8%89%e6%9c%ac%e6%9d%be%e8%8c%b6%e5%b1%8b/,01.日光
湯沢屋酒店,栃木県日光市湯西川766,0288-98-0423,9：:00～19：00 ※金曜、土曜、祝日前日　20：00（定休日木曜日）,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e6%b9%af%e6%b2%a2%e5%b1%8b%e9%85%92%e5%ba%97/,01.日光
おみやげ処　すみ屋,栃木県日光市鬼怒川温泉大原1396-8,028-877-0821,,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e3%81%8a%e3%81%bf%e3%82%84%e3%81%92%e5%87%a6%e3%80%80%e3%81%99%e3%81%bf%e5%b1%8b/,01.日光
本家伴久,栃木県日光市湯西川749 本家伴久,028-898-0011,,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%80%80%e6%9c%ac%e5%ae%b6%e4%bc%b4%e4%b9%85/,01.日光
あさやホテル〔売店〕,栃木県日光市鬼怒川温泉滝813 あさやホテル,028-877-1111,,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e3%81%82%e3%81%95%e3%82%84%e3%83%9b%e3%83%86%e3%83%ab%e3%80%94%e5%a3%b2%e5%ba%97%e3%80%95/,01.日光
鬼怒川グランドホテル 夢の季〔売店〕,栃木県日光市鬼怒川温泉大原1021 鬼怒川グランドホテル夢の季,028-877-1313,,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e9%ac%bc%e6%80%92%e5%b7%9d%e3%82%b0%e3%83%a9%e3%83%b3%e3%83%89%e3%83%9b%e3%83%86%e3%83%ab%e3%80%94%e5%a3%b2%e5%ba%97%e3%80%95/,01.日光
おみやげの店　ながた,栃木県日光市中宮祠2478　湖上プロムナード向かい,028-855-0250,<p class="access">栃木県日光市中宮祠2478　湖上プロムナード向かい</p><h3 class="name"><a href="https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e3%81%8a%e3%81%bf%e3%82%84%e3%81%92%e3%81%ae%e5%ba%97%e3%80%80%e3%81%aa%e3%81%8c%e3%81%9f/">おみやげの店　ながた</a></h3><p class="access"></p><p class="comment">電話番号　028-855-0250</p><p class="comment">営業時間　<br><span style="color: #ff0000"><strong>12月～4月中旬まで冬季休業</strong></span></p> </li>,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e3%81%8a%e3%81%bf%e3%82%84%e3%81%92%e3%81%ae%e5%ba%97%e3%80%80%e3%81%aa%e3%81%8c%e3%81%9f/,01.日光
ローソン日光東照宮前店,栃木県日光市本町2-32　ローソン日光東照宮前店,0288-25-3552,24時間営業　年中無休,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e3%83%ad%e3%83%bc%e3%82%bd%e3%83%b3%e6%97%a5%e5%85%89%e6%9d%b1%e7%85%a7%e5%ae%ae%e5%89%8d%e5%ba%97/,01.日光
早見商店,栃木県日光市松原町12-5,0288-54-0808,8：30～18：00,https://tabi-sake.com/shop/%e6%97%a5%e5%85%89%e3%80%80%e6%97%a9%e8%a6%8b%e5%95%86%e5%ba%97/,01.日光
ローソン 日光栗原店,栃木県日光市栗原３５６−１　ローソン 日光栗原店,0288-25-3963,,https://tabi-sake.com/shop/1lowsnikkokurihara/,01.日光
日光　吉田屋酒店,栃木県日光市上鉢石町1044-1　吉田屋酒店,0288-54-0167,9:00～20:00,https://tabi-sake.com/shop/1nikko_yoshidaya/,01.日光
日野屋酒店,栃木県日光市松原町２７０　日野屋酒店,0288-54-1561,9:00～18:00,https://tabi-sake.com/shop/1hinoyasaketen/,01.日光
KINU Terrace（キヌテラス）,栃木県日光市鬼怒川温泉大原1435-3　遊ingPLAZA,0288-77-2727（代）,,https://tabi-sake.com/shop/1kinu-terrace/,01.日光
登屋本店,栃木県日光市鬼怒川温泉大原1060-162 登屋本店,0288-77-0305,9:30～18:00,https://tabi-sake.com/shop/1noboriyahonten/,01.日光
松本酒店,栃木県日光市今市1206-18　松本酒店,0288-21-2926,8:00～19:00、水曜日定休,https://tabi-sake.com/shop/1matsumoto/,01.日光
よろずや酒店,栃木県日光市大原533　よろずや酒店,0288-77-0152,,https://tabi-sake.com/shop/1yorozuya/,01.日光
ローソン日光所野店,栃木県日光市所野2-1　ローソン日光所野店,0288-25-3318,,https://tabi-sake.com/shop/1%e3%83%ad%e3%83%bc%e3%82%bd%e3%83%b3%e6%97%a5%e5%85%89%e6%89%80%e9%87%8e%e5%ba%97/,01.日光
清美堂 駅前通り店,大分県由布市湯布院町川上3727-4,0977-84-2414,８：００～１８：００,https://tabi-sake.com/shop/%e6%b8%85%e7%be%8e%e5%a0%82/,02.湯布院
一休商店,大分県由布市湯布院町川北4-1　ゆふいん 一休,０９７７－８５－２８０１,8：05～18：30,https://tabi-sake.com/shop/%e4%b8%80%e4%bc%91%e5%95%86%e5%ba%97/,02.湯布院
のいちご,大分県由布市湯布院町川上１５４１－１１,0977-85-2717,9：00～17：00,https://tabi-sake.com/shop/%e3%81%ae%e3%81%84%e3%81%a1%e3%81%94/,02.湯布院
九州フードマーケット（KYUSHU FOOD MARKET）,大分県由布市湯布院町川上1503-3 YUFUIN FLORAL VILLAGE内,0977-76-5607,9:00～18:00,https://tabi-sake.com/shop/kyusyufood_m/,02.湯布院
道の駅 ゆふいん,大分県由布市湯布院町川北899-76　道の駅 ゆふいん,0977-84-5551,9:00～18:00,https://tabi-sake.com/shop/%e6%b9%af%e5%b8%83%e9%99%a2%e3%80%80%e3%82%86%e3%81%b5%e3%81%84%e3%82%93%e9%81%93%e3%81%ae%e9%a7%85/,02.湯布院
山荘 無量塔　セレクトショップ蔵拙,大分県由布市湯布院町川上1264-2　山荘無量塔,0977-28-4500,8:30～19:00,https://tabi-sake.com/shop/%e6%b9%af%e5%b8%83%e9%99%a2%e3%80%80%e5%b1%b1%e8%8d%98-%e7%84%a1%e9%87%8f%e5%a1%94/,02.湯布院
別府交通センター,大分県別府市新港町6-46　別府交通センター,0977-24-1811,9:00～17:00,https://tabi-sake.com/shop/%e5%88%a5%e5%ba%9c%e3%80%80%e5%88%a5%e5%ba%9c%e4%ba%a4%e9%80%9a%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc/,02.湯布院
湯布院　薫風工房,大分県由布市湯布院町川上1511-1　薫風工房,0977-28-8858,9:00〜17:00 不定休,https://tabi-sake.com/shop/%e6%b9%af%e5%b8%83%e9%99%a2%e3%80%80%e6%b9%af%e5%b8%83%e9%99%a2%e8%96%ab%e9%a2%a8%e5%b7%a5%e6%88%bf/,02.湯布院
アトネスいずも,島根県出雲市駅北町10-3　アトネスいずも,0853-21-6783,8:30～19:30,https://tabi-sake.com/shop/%e6%9d%be%e6%b1%9f%e3%83%bb%e5%87%ba%e9%9b%b2%e3%80%80%e3%82%a2%e3%83%88%e3%83%8d%e3%82%b9%e3%81%84%e3%81%9a%e3%82%82/,03.松江・出雲
松江フォーゲルパーク,島根県松江市大垣町52,0852－88－9800,9:00～17:30（4月～9月）9:00～17:00（10月～3月）※最終入園受付は閉園45分前,https://tabi-sake.com/shop/%e6%9d%be%e6%b1%9f%e3%83%bb%e5%87%ba%e9%9b%b2%e3%80%80%e6%9d%be%e6%b1%9f%e3%83%95%e3%82%a9%e3%83%bc%e3%82%b2%e3%83%ab%e3%83%91%e3%83%bc%e3%82%af/,03.松江・出雲
錦織酒店,島根県松江市雑賀町761　錦織酒店,085-221-3724,,https://tabi-sake.com/shop/%e9%8c%a6%e7%b9%94%e9%85%92%e5%ba%97/,03.松江・出雲
道の駅 大社ご縁広場　出雲物産館,島根県出雲市大社町修理免735－5　道の駅 大社ご縁広場　出雲物産館,0853-53-5150,9:00～18：00（土日祝は19:00）,https://tabi-sake.com/shop/3izumobussankan/,03.松江・出雲
道の駅 さくらの里きすき,島根県雲南市木次町山方1134-31　道の駅 さくらの里きすき,0854-40-0540,9:00～18:00,https://tabi-sake.com/shop/3sakuranosatokisuki/,03.松江・出雲
津田商店,広島県廿日市市宮島町95-1　津田商店,0829-44-0567,9：00～19：00（定休　水曜日）,https://tabi-sake.com/shop/%e6%b4%a5%e7%94%b0%e5%95%86%e5%ba%97/,04.広島
津田屋,広島県廿日市市宮島町浜之町843-3　津田屋,0829-44-0682,9：00～18：00（年中無休）,https://tabi-sake.com/shop/%e6%b4%a5%e7%94%b0%e5%b1%8b/,04.広島
酒と器　久保田,広島県廿日市市宮島町幸町東表481　酒と器　久保田,0829-44-222,9：00～18：00（定休　水曜日）,https://tabi-sake.com/shop/%e9%85%92%e3%81%a8%e5%99%a8%e3%80%80%e4%b9%85%e4%bf%9d%e7%94%b0-2/,04.広島
道の駅 みはら神明の里,広島県三原市糸崎4-21-1　道の駅 みはら神明の里,0848-63-8585,9:00～18:00　定休：毎月第3火曜日,https://tabi-sake.com/shop/4miharashinmeinosato/,04.広島
道の駅たけはら,広島県竹原市本町1-1-1　道の駅たけはら,0846-23-5100,9:00～17:00、定休日：毎月第3水曜日,https://tabi-sake.com/shop/4michinoekitakehara/,04.広島
(有)稲福酒販,沖縄県石垣市美崎町７−１１,0980-82-6363,9:00～,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e7%a8%b2%e7%a6%8f%e9%85%92%e8%b2%a9%e6%9c%ac%e5%ba%97/,05.石垣島
玉那覇酒造所（店頭販売）,沖縄県石垣市字石垣47,0980-82-3165,,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e7%8e%89%e9%82%a3%e8%a6%87%e9%85%92%e9%80%a0%e6%89%80/,05.石垣島
うちなーみやげ館,沖縄県石垣市大川213-1,0980-83-5118,9：00～20：00,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e3%81%86%e3%81%a1%e3%81%aa%e3%83%bc%e3%81%bf%e3%82%84%e3%81%92%e9%a4%a8/,05.石垣島
とぅもーるショップ,沖縄県石垣市美崎町1 石垣離島ターミナル内,0980-88-0822,6:30～18:30 ,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e3%81%a8%e3%81%85%e3%82%82%e3%83%bc%e3%82%8b%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97/,05.石垣島
絶対的石垣島商店,沖縄県石垣市大川206番地１F　絶対的石垣島商店,0980-87-0701,,https://tabi-sake.com/shop/5settaitekiishigakijima/,05.石垣島
島のみやげ館,沖縄県石垣市大川207-3,0980-83-7111,9：00～21：00,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e5%b3%b6%e3%81%ae%e5%9c%9f%e7%94%a3%e9%a4%a8-2/,05.石垣島
石垣市特産品販売センター,沖縄県石垣市大川208番地 公設市場2F,0980-88-8633,10：00～17：00,https://tabi-sake.com/shop/%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e7%9f%b3%e5%9e%a3%e5%b8%82%e7%89%b9%e7%94%a3%e5%93%81%e8%b2%a9%e5%a3%b2%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc-2/,05.石垣島
石垣市特産品販売センター 空港店,沖縄県石垣市字白保1960-104-１ 石垣空港1F,0980-87-0291,7:30～20:00,https://tabi-sake.com/shop/5%e7%9f%b3%e5%9e%a3%e5%b3%b6%e3%80%80%e7%9f%b3%e5%9e%a3%e5%b8%82%e7%89%b9%e7%94%a3%e5%93%81%e8%b2%a9%e5%a3%b2%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc-%e7%a9%ba%e6%b8%af%e5%ba%97/,05.石垣島
おおしろ酒店,沖縄県石垣市石垣１５７−２　おおしろ酒店,0980-82-3481,,https://tabi-sake.com/shop/5ooshirosaketen/,05.石垣島
ワインと地酒　スガワラショップ,秋田県仙北市角館町雲然荒屋敷184-18　スガワラショップ,0187-55-2242,7:00～20:00,https://tabi-sake.com/shop/%e7%94%b0%e6%b2%a2%e6%b9%96%e3%83%bb%e8%a7%92%e9%a4%a8%e3%80%80%e3%82%b9%e3%82%ac%e3%83%af%e3%83%a9%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97/,06.田沢湖・角館
田沢湖いち,秋田県仙北市田沢湖生保内字水尻59-40　田沢湖いち,0187-43-2855,9:00～18:00,https://tabi-sake.com/shop/%e7%94%b0%e6%b2%a2%e6%b9%96%e3%83%bb%e8%a7%92%e9%a4%a8%e3%80%80%e7%94%b0%e6%b2%a2%e6%b9%96%e3%81%84%e3%81%a1/,06.田沢湖・角館
亀の井ホテル 田沢湖,秋田県仙北市田沢湖生保内駒ヶ岳2-32　亀の井ホテル田沢湖,0187-46-2131,9:00～18:00,https://tabi-sake.com/shop/6kamenoi_tazawako/,06.田沢湖・角館
斉藤商店,秋田県仙北市西木町西明寺字潟尻90　斎藤商店,0187-47-2381,8:00～17:00,https://tabi-sake.com/shop/%e7%94%b0%e6%b2%a2%e6%b9%96%e3%83%bb%e8%a7%92%e9%a4%a8%e3%80%80%e6%96%89%e8%97%a4%e5%95%86%e5%ba%97/,06.田沢湖・角館
角館こだわり蔵,秋田県仙北市角館町横町42-1　角館こだわり蔵,0187-52-1246,9:00～19:00,https://tabi-sake.com/shop/%e7%94%b0%e6%b2%a2%e6%b9%96%e3%83%bb%e8%a7%92%e9%a4%a8%e3%80%80%e8%a7%92%e9%a4%a8%e3%81%93%e3%81%a0%e3%82%8f%e3%82%8a%e8%94%b5/,06.田沢湖・角館
樹の下や　よしなり,秋田県仙北市角館町表町下丁13-1　樹の下や　よしなり,0187-55-4133,9：30～16：30　4-11月休業日無し、他不定休,https://tabi-sake.com/shop/%e7%94%b0%e6%b2%a2%e6%b9%96%e3%83%bb%e8%a7%92%e9%a4%a8%e3%80%80%e6%a8%b9%e3%81%ae%e4%b8%8b%e3%82%84%e3%82%88%e3%81%97%e3%81%aa%e3%82%8a/,06.田沢湖・角館
